"id","tweet_id","pub_date","url"
"10142","2045966958974390500","2026-04-19T20:50:03.000Z","https://t.co/9VVTY7Y5jX"
"10176","2046552118505750800","2026-04-21T11:40:03.000Z","https://t.co/uYF38uWN47"
"10173","2046507136650555400","2026-04-21T08:40:02.000Z","https://t.co/rnKKuCgq6H"
"10166","2046364886192832800","2026-04-20T23:10:02.000Z","https://t.co/3BkvscVsJU"
"10163","2046330815873950200","2026-04-20T21:00:03.000Z","https://t.co/sUqn7VQqeJ"
"10202","2047204769849344300","2026-04-23T06:50:02.000Z","https://t.co/n1KtvjGzbI"
"10197","2047065898100593000","2026-04-22T21:40:02.000Z","https://t.co/bo3vcEIQ0X"
"10189","2046797408009609200","2026-04-22T03:50:02.000Z","https://t.co/bLOnTJQASd"
"10229","2048231293713043500","2026-04-26T02:50:01.000Z","https://t.co/K4vc7oJm0o"
"10226","2048214977467887900","2026-04-26T01:40:02.000Z","https://t.co/OpyFzog67N"
"10222","2048173896592228600","2026-04-25T23:00:03.000Z","https://t.co/5WiXB9YE0U"
"10221","2048162150619955700","2026-04-25T22:10:01.000Z","https://t.co/iEwVa9uHAN"
"10233","2048514907902226700","2026-04-26T21:30:03.000Z","https://t.co/2AI7bqMbQx"
"10242","2048868903233986600","2026-04-27T21:00:01.000Z","https://t.co/3qFHjmdEhk"
"10241","2048866726910271500","2026-04-27T20:50:02.000Z","https://t.co/3WmpFGSluw"
"10266","2049403522308100400","2026-04-29T08:30:03.000Z","https://t.co/9OUUeH9VK5"
"10259","2049223433792438800","2026-04-28T20:30:03.000Z","https://t.co/SLKjwJJKAB"
"10258","2049224521530712300","2026-04-28T20:30:03.000Z","https://t.co/NxbpjnjVyB"
"10297","2050328952871469600","2026-05-01T21:40:04.000Z","https://t.co/g0sAzas896"
"10285","2049938133970784300","2026-04-30T19:50:04.000Z","https://t.co/8lmQO5negu"
"10311","2051059093692178700","2026-05-03T22:00:03.000Z","https://t.co/UqibNmx7Uo"
"10309","2051040968464626000","2026-05-03T20:50:02.000Z","https://t.co/97AloUxBUq"
"10308","2050889672021487900","2026-05-03T10:50:03.000Z","https://t.co/QrhPvd86w6"
"10307","2050851489397326000","2026-05-03T08:20:03.000Z","https://t.co/YH82VIvbJv"
"10317","2051227920065261800","2026-05-04T09:20:03.000Z","https://t.co/fgl5Uo5wyT"
"10346","2051992197869035800","2026-05-06T11:50:02.000Z","https://t.co/Sv9RVARad5"
"10343","2051976478292910600","2026-05-06T10:50:02.000Z","https://t.co/F1CciUjDom"
"10340","2051819497435304200","2026-05-06T00:30:02.000Z","https://t.co/DcYIeApyZW"
"10339","2051782163188887600","2026-05-05T22:00:03.000Z","https://t.co/Rgq2X8meZq"
"10338","2051783817179070700","2026-05-05T22:00:02.000Z","https://t.co/AP0krouc3f"
"10384","2053219726932017200","2026-05-09T21:10:03.000Z","https://t.co/1mts7yYRzm"
"10381","2052953465513800000","2026-05-09T03:30:03.000Z","https://t.co/Ke1nxDCeR0"
"10376","2052859212854940000","2026-05-08T21:20:03.000Z","https://t.co/1AMICg7xIe"
"10389","2053391496922210600","2026-05-10T08:30:04.000Z","https://t.co/ZySMVzRjw4"
"10388","2053354271496921300","2026-05-10T06:00:04.000Z","https://t.co/NtTrfbcyw0"
"10405","2053795959281479700","2026-05-11T11:20:05.000Z","https://t.co/RUz2SrPg9s"
"10404","2053788904462123500","2026-05-11T10:50:01.000Z","https://t.co/kCmg7WRniX"
"10403","2053786308292866000","2026-05-11T10:40:02.000Z","https://t.co/jjVNDKnLmC"
"10394","2053572359744000000","2026-05-10T20:30:02.000Z","https://t.co/gSVce8Vwfx"
"10542","2059094477067956500","2026-05-26T02:10:04.000Z","https://t.co/9GHnVMiUSP"
"10538","2059030483393257700","2026-05-25T22:00:04.000Z","https://t.co/1G2B7zplmo"
"10535","2058998360099656000","2026-05-25T19:50:04.000Z","https://t.co/G7U36mmTZm"
"10532","2058895868950983200","2026-05-25T13:10:03.000Z","https://t.co/Z6KQBNnpjG"
"10531","2058873484126896400","2026-05-25T11:40:02.000Z","https://t.co/dQ5JGgXQ2o"
"10530","2058875280337551600","2026-05-25T11:40:02.000Z","https://t.co/iamEhyKf0T"
"10528","2058765589376795100","2026-05-25T04:30:02.000Z","https://t.co/K0iFVhFK3C"
"10527","2058743322056024300","2026-05-25T03:00:02.000Z","https://t.co/tNacm9A8dX"
"10526","2058739164603158800","2026-05-25T02:40:05.000Z","https://t.co/gmYOROu7Bz"
"10549","2059225523268858400","2026-05-26T10:50:02.000Z","https://t.co/WuIzzXnOZf"
"10546","2059216555519643600","2026-05-26T10:20:01.000Z","https://t.co/9GHnVMiUSP"
"10553","2059374091086524700","2026-05-26T20:50:02.000Z","https://t.co/nxZv2BAaK9"
"10552","2059368219979518200","2026-05-26T20:20:03.000Z","https://t.co/uQurHT5MsY"
"10570","2059983037413106000","2026-05-28T13:10:01.000Z","https://t.co/aQTveLn8Lc"
"10568","2059952827473203500","2026-05-28T11:10:02.000Z","https://t.co/PS7JEo9PMH"
"10566","2059940035387130000","2026-05-28T10:10:03.000Z","https://t.co/74zHFPfahN"
"10557","2059746791399334400","2026-05-27T21:30:03.000Z","https://t.co/0T7rkAxBdO"
"10571","2059998133577208000","2026-05-28T14:10:03.000Z","https://t.co/MAlyKSleN3"
"10592","2061186526118326500","2026-05-31T20:50:03.000Z","https://t.co/ZKFhEgveaG"
"10591","2061187948062949600","2026-05-31T20:50:03.000Z","https://t.co/dXziFTdsyp"
"10589","2060940625915322400","2026-05-31T04:30:03.000Z","https://t.co/T71bcCo9TK"
"10588","2060828770794353200","2026-05-30T21:10:02.000Z","https://t.co/xTwq17pXBY"
"10587","2060820636554125300","2026-05-30T20:30:04.000Z","https://t.co/ovPUQ5vkiP"
"10614","2061618369531699500","2026-06-02T01:20:01.000Z","https://t.co/KJP8AeoEm1"
"10609","2061574476119306200","2026-06-01T22:30:02.000Z","https://t.co/ZtanvKPdx8"
"10606","2061534072741187800","2026-06-01T19:50:02.000Z","https://t.co/34IIsf4ETk"
"10604","2061393868235604000","2026-06-01T10:30:03.000Z","https://t.co/Hfw9mwq3YL"
"10601","2061379969360806100","2026-06-01T09:40:03.000Z","https://t.co/EwEPKw7wnO"
"10597","2061328366939279400","2026-06-01T06:10:03.000Z","https://t.co/M8qrQOlwSF"
"10631","2062117132545241300","2026-06-03T10:30:03.000Z","https://t.co/AZGcVq4AvU"
"10630","2062118428346094000","2026-06-03T10:30:03.000Z","https://t.co/niLPlN8fdJ"
"10629","2062114999624233000","2026-06-03T10:20:02.000Z","https://t.co/Dc9sTKUzi9"
"10628","2062113135570702600","2026-06-03T10:10:04.000Z","https://t.co/lfaNg2BkOV"
"10618","2061923405977493500","2026-06-02T21:40:02.000Z","https://t.co/3cmkwUR8dU"
"10617","2061918677805707500","2026-06-02T21:20:01.000Z","https://t.co/LMlPndLvT9"
"10635","2062283793982267600","2026-06-03T21:50:03.000Z","https://t.co/s4jeE0spoC"
"10633","2062270772417266000","2026-06-03T20:40:02.000Z","https://t.co/7fDF5jWqdk"
"10680","2063935901143814700","2026-06-08T10:50:03.000Z","https://t.co/ZFVxghQShb"
"10678","2063925882394485000","2026-06-08T10:10:03.000Z","https://t.co/mAu8pumbfO"
"10681","2064318795305632300","2026-06-09T12:10:02.000Z","https://t.co/CGEilIrZdo"
"10692","2064669897058304000","2026-06-10T11:30:03.000Z","https://t.co/pS3NiMyvgP"
"10708","2065224319303877000","2026-06-12T00:10:03.000Z","https://t.co/QVio6vZtDx"
"10715","2065622548432478500","2026-06-13T02:30:03.000Z","https://t.co/08RikE5970"
"10724","2066289388125057500","2026-06-14T22:40:02.000Z","https://t.co/rzEQ1PcVGb"
"10737","2066691441368433200","2026-06-16T01:20:03.000Z","https://t.co/PUDY7x2SYt"
"10734","2066657010125267000","2026-06-15T23:10:03.000Z","https://t.co/T3xc2sf10t"
"10754","2067531399918453000","2026-06-18T09:00:04.000Z","https://t.co/mS84VuJpZD"
"10753","2067451296983204400","2026-06-18T03:40:03.000Z","https://t.co/QOXmokOhP9"
"10752","2067423463657378000","2026-06-18T01:50:03.000Z","https://t.co/1x3Uv2j9nP"
"10756","2067885532265558500","2026-06-19T08:40:03.000Z","https://t.co/XNTh51pmn1"
"10762","2068159128565096700","2026-06-20T02:30:03.000Z","https://t.co/VQVFCEODUC"
"10770","2068435243611410700","2026-06-20T20:50:04.000Z","https://t.co/SlixhcAkyi"
"10789","2068998713381704000","2026-06-22T10:10:03.000Z","https://t.co/Wq2tSupLxt"
"10788","2068975570147475500","2026-06-22T08:40:03.000Z","https://t.co/uqEEWGPiUy"
"10780","2068825923227636200","2026-06-21T22:40:01.000Z","https://t.co/U6oJQubo0o"
"10779","2068809617791205400","2026-06-21T21:40:02.000Z","https://t.co/wkWNdvC4lU"
"10821","2070069834478678000","2026-06-25T09:10:01.000Z","https://t.co/1GsBzvn99i"
"10820","2069992919730442800","2026-06-25T04:00:03.000Z","https://t.co/lnHvtdoGSA"
"10819","2069977556561052200","2026-06-25T03:00:02.000Z","https://t.co/houAUXhf7f"
"10809","2069893689661604000","2026-06-24T21:30:02.000Z","https://t.co/Cx76GUnaiw"
"10806","2069882582205177900","2026-06-24T20:40:03.000Z","https://t.co/uYvqAQkAHr"
"10804","2069699144307118300","2026-06-24T08:30:03.000Z","https://t.co/tmZxmFjbu6"
"10803","2069618073456583000","2026-06-24T03:10:02.000Z","https://t.co/6xJU4K2VRc"
"10826","2070306023437750800","2026-06-26T00:40:02.000Z","https://t.co/gM4K2fW6aE"
"10844","2070689629385482200","2026-06-27T02:10:02.000Z","https://t.co/FlsuD3sfLj"
"10841","2070654924359397600","2026-06-26T23:50:04.000Z","https://t.co/R0rXdhGD30"
"10839","2070627790584791300","2026-06-26T22:00:02.000Z","https://t.co/kBdcP6SOKm"
"10852","2071012916145619500","2026-06-27T23:30:02.000Z","https://t.co/ntoT2D9Kxy"
"10859","2071423700373733600","2026-06-29T02:50:03.000Z","https://t.co/R08sjjZgG3"
"10874","2072106801202692600","2026-07-01T00:00:03.000Z","https://t.co/LhznphO5d5"
"10867","2071896072625303600","2026-06-30T10:00:03.000Z","https://t.co/NmvitE8Mvl"
"10878","2072427525004034300","2026-07-01T21:10:02.000Z","https://t.co/RLr85FFtWH"
"10884","2072805096761778400","2026-07-02T22:20:02.000Z","https://t.co/yApFiuJMUY"
"10883","2072801336660480000","2026-07-02T22:00:02.000Z","https://t.co/xpH3m07YHw"
"10893","2073181951587213600","2026-07-03T23:10:03.000Z","https://t.co/RO5gGYnW0N"
"10890","2073127160139960800","2026-07-03T19:40:03.000Z","https://t.co/Oi8ICEJzQU"
"10907","2073710557824422400","2026-07-05T10:10:03.000Z","https://t.co/98DBqIKUjO"
"10916","2074291615917875500","2026-07-07T00:40:03.000Z","https://t.co/dFJkJ62wq1"
"10940","2074971680968228900","2026-07-08T21:40:03.000Z","https://t.co/QAehvQfotY"
"10950","2075734347379069000","2026-07-11T00:20:02.000Z","https://t.co/WCEk46go0u"
"10963","2076211090686656800","2026-07-12T07:50:01.000Z","https://t.co/RqYCCSYG4b"
"10962","2076177747790201300","2026-07-12T05:40:02.000Z","https://t.co/ojEOJboUt8"
"10966","2076488548266787000","2026-07-13T02:10:02.000Z","https://t.co/0ITHMMop8z"
"10986","2077548584141291800","2026-07-16T00:20:03.000Z","https://t.co/VXEXOnAW6V"
"11002","2078610210835599600","2026-07-18T22:40:02.000Z","https://t.co/ZRdAGnWVb5"
"11034","2079882498952265700","2026-07-22T11:00:03.000Z","https://t.co/HrzhUm0SS3"
"11032","2079797882614628600","2026-07-22T05:20:02.000Z","https://t.co/D1ykXkLK1o"
"11031","2079777567369032000","2026-07-22T04:00:03.000Z","https://t.co/1MydZCLDOi"
"11029","2079688659696304000","2026-07-21T22:10:03.000Z","https://t.co/ZTaoZ0olO4"
"11026","2079662680881947000","2026-07-21T20:20:03.000Z","https://t.co/UDhlKdOlEJ"
"11043","2080183933283750100","2026-07-23T07:00:02.000Z","https://t.co/VqnZKTX0Ip"
"11038","2080044444552962000","2026-07-22T21:40:02.000Z","https://t.co/LbzBiulKIX"
"11035","2080021836327441000","2026-07-22T20:10:03.000Z","https://t.co/t17IEZw4KX"
"11056","2081121677795320300","2026-07-25T21:10:04.000Z","https://t.co/sKJs8MATN4"
